run_ts_utc,market_interval,tickers,primary_ticker,forecast_horizon,start_date,end_date,n_train_samples,n_test_samples,n_features,arima_rmse,arima_mae,garch_rmse,garch_mae,dl_rmse,dl_mae,hybrid_rmse,hybrid_mae,residual_hybrid_rmse,residual_hybrid_mae,winner,shock_rows
2026-08-21 13:35:59,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0041873213391321,0.0029320916325846,0.006897036638162,0.0060890157217457,0.0077345478594157,0.0063537005385188,0.0048748996754171,0.0038349440956302,0.0042238841844004,0.0030266895690808,HAR-RV,0
2026-08-21 13:52:41,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0067197236102755,0.0043133088542295,0.0080258467003846,0.0067563904814843,0.0116087925550666,0.0096912269853684,0.0073147465176157,0.0057386370584695,0.0067282572792739,0.0043656590200026,HAR-RV,0
2026-08-21 14:12:28,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0085541101914677,0.0058794773783384,0.0116726469097462,0.0094530522814196,0.0204898474047798,0.0143332811755332,0.0120713614550107,0.0086682712797893,0.0097191520039715,0.0069369874196552,HAR-RV,0
2026-08-21 14:33:16,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0085634403789772,0.0055532598688871,0.0241565543016449,0.021826532999527,0.0381743298252287,0.0267953504974635,0.0204760592013751,0.0147646054820261,0.0125924429760429,0.0100491982562351,HAR-RV,0
2026-08-21 15:12:10,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0071769971345491,0.0052660990675519,0.0089713356144282,0.0080380053229194,0.0090993720401553,0.00757214309,0.006890398130451,0.0055360950791434,0.0071834305519914,0.0052728457532281,HAR-RV,0
2026-08-21 15:30:39,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0110296402992055,0.0076503416745332,0.0107549963115562,0.0092313979178752,0.0112514373811818,0.0098932681212368,0.0096641597106111,0.0073937778193679,0.0120368761019434,0.0087076748199802,Hybrid (ARIMA+DL),0
2026-08-22 14:13:02,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0024799689454493,0.0014005987387157,0.0060351831232324,0.0053081863870666,0.0075695605833209,0.0060621843608946,0.0041459979217524,0.0033235950602622,0.0026848101210578,0.001548268610814,HAR-RV,0
2026-08-22 14:46:06,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0037680818236467,0.0018892155267494,0.0070548388478382,0.0060034511812828,0.0123067078484314,0.0107424564078435,0.0066600274920083,0.0056171097807174,0.0037811368115742,0.0019446431444229,HAR-RV,0
2026-08-22 15:15:55,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0046252760119922,0.0028159682695935,0.0099909696214046,0.0080395418524473,0.0292043039381671,0.0174148953973234,0.0151371222891389,0.0091768423572481,0.0047019586006646,0.003026472112055,HAR-RV,0
2026-08-22 15:44:38,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0042209431960694,0.0021812051682129,0.0197059699864292,0.0167111232336546,0.0364775336960349,0.0283054853581259,0.0185147021056429,0.0144403012264471,0.0042248181900187,0.0022062482536135,HAR-RV,0
2026-08-22 16:22:09,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0041873213391321,0.0029320916325846,0.006897036638162,0.0060890157217457,0.0081180067422151,0.0062711112352259,0.004962906713938,0.0037564753811046,0.0046689088429389,0.0036337340748668,HAR-RV,0
2026-08-22 16:43:30,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0067197236102755,0.0043133088542295,0.0080258467003846,0.0067563904814843,0.0126790671235823,0.0100699484369701,0.0077955863634988,0.0060155867423279,0.0069113854403251,0.0046288506381339,HAR-RV,0
2026-08-22 17:04:05,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0085541101914677,0.0058794773783384,0.0116726469097462,0.0094530522814196,0.0220001457469287,0.0148270873971249,0.0125770564351467,0.008851616890193,0.0088036426305894,0.0063818837602776,HAR-RV,0
2026-08-22 17:25:54,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0085634403789772,0.0055532598688871,0.0241565543016449,0.021826532999527,0.0292811010033818,0.0204712717952198,0.0160213656145654,0.0117860670210784,0.0124369895622738,0.0093531817845091,HAR-RV,0
2026-08-22 17:58:53,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0071769971345491,0.0052660990675519,0.0089713356144282,0.0080380053229194,0.0141715146000483,0.0112908845269581,0.0090173068543529,0.0068903831011397,0.0081419849458325,0.0063976154766341,HAR-RV,0
2026-08-22 18:20:35,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0110296402992055,0.0076503416745332,0.0107549963115562,0.0092313979178752,0.0145440805963604,0.0115673528240794,0.0107442032053429,0.0082929994463085,0.011740479811137,0.0085426052626399,HAR-RV,0
2026-08-22 18:42:35,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0143720707466195,0.0101634464610534,0.0155090679698432,0.0125288300699857,0.0464778050502649,0.0246904771748301,0.026746760134471,0.0158006662379621,0.0145564238559234,0.0104798118934073,HAR-RV,0
2026-08-22 19:03:10,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,7,2020-01-01,2024-12-31,1433,359,10,0.014527663913248709,0.010431795518177217,0.0327146310750306,0.03024675433687096,0.018135741900687206,0.014941973811414653,0.014387292488082152,0.011337466459295172,0.029346744244550152,0.020827803137794143,HAR-RV,0
