Date,Asset,News_Sentiment,News_Volume,Social_Sentiment,Social_Volume,Attention_Index,Sentiment_Disagreement,Market_FearGreed,FinBERT_Polarity
2021-09-13,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0
2021-09-14,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.4,0.0
2021-09-15,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.020000000000000018,0.0
2021-09-16,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.06000000000000005,0.0
2021-09-17,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.040000000000000036,0.0
2021-09-18,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2021-09-19,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.06000000000000005,0.0
2021-09-20,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2021-09-21,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-09-22,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2021-09-23,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-09-24,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.33999999999999997,0.0
2021-09-25,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.43999999999999995,0.0
2021-09-26,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-09-27,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.48,0.0
2021-09-28,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5,0.0
2021-09-29,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2021-09-30,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.6,0.0
2021-10-01,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-10-02,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.08000000000000007,0.0
2021-10-03,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.020000000000000018,0.0
2021-10-04,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.08000000000000007,0.0
2021-10-05,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.17999999999999994,0.0
2021-10-06,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.3600000000000001,0.0
2021-10-07,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.52,0.0
2021-10-08,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.48,0.0
2021-10-09,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.43999999999999995,0.0
2021-10-10,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.41999999999999993,0.0
2021-10-11,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.41999999999999993,0.0
2021-10-12,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.56,0.0
2021-10-13,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.3999999999999999,0.0
2021-10-14,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.3999999999999999,0.0
2021-10-15,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.41999999999999993,0.0
2021-10-16,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.56,0.0
2021-10-17,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.5800000000000001,0.0
2021-10-18,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.56,0.0
2021-10-19,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.5,0.0
2021-10-20,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.6399999999999999,0.0
2021-10-21,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.6799999999999999,0.0
2021-10-22,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.5,0.0
2021-10-23,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.48,0.0
2021-10-24,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.45999999999999996,0.0
2021-10-25,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.43999999999999995,0.0
2021-10-26,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.52,0.0
2021-10-27,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.45999999999999996,0.0
2021-10-28,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.32000000000000006,0.0
2021-10-29,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.3999999999999999,0.0
2021-10-30,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.45999999999999996,0.0
2021-10-31,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.48,0.0
2021-11-01,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.48,0.0
2021-11-02,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.45999999999999996,0.0
2021-11-03,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.52,0.0
2021-11-04,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.45999999999999996,0.0
2021-11-05,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.45999999999999996,0.0
2021-11-06,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.41999999999999993,0.0
2021-11-07,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.45999999999999996,0.0
2021-11-08,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.5,0.0
2021-11-09,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.6799999999999999,0.0
2021-11-10,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.5,0.0
2021-11-11,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.54,0.0
2021-11-12,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.48,0.0
2021-11-13,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.43999999999999995,0.0
2021-11-14,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.48,0.0
2021-11-15,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.43999999999999995,0.0
2021-11-16,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.41999999999999993,0.0
2021-11-17,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.040000000000000036,0.0
2021-11-18,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.08000000000000007,0.0
2021-11-19,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.31999999999999995,0.0
2021-11-20,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.14,0.0
2021-11-21,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.020000000000000018,0.0
2021-11-22,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2021-11-23,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.33999999999999997,0.0
2021-11-24,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.16000000000000003,0.0
2021-11-25,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.36,0.0
2021-11-26,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.06000000000000005,0.0
2021-11-27,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2021-11-28,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-11-29,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.33999999999999997,0.0
2021-11-30,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.19999999999999996,0.0
2021-12-01,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.31999999999999995,0.0
2021-12-02,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.36,0.0
2021-12-03,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.38,0.0
2021-12-04,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5,0.0
2021-12-05,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.64,0.0
2021-12-06,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.6799999999999999,0.0
2021-12-07,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5,0.0
2021-12-08,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.43999999999999995,0.0
2021-12-09,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.42000000000000004,0.0
2021-12-10,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2021-12-11,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.6799999999999999,0.0
2021-12-12,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-12-13,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.43999999999999995,0.0
2021-12-14,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2021-12-15,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.43999999999999995,0.0
2021-12-16,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.42000000000000004,0.0
2021-12-17,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.54,0.0
2021-12-18,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2021-12-19,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.42000000000000004,0.0
2021-12-20,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5,0.0
2021-12-21,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-12-22,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.09999999999999998,0.0
2021-12-23,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.31999999999999995,0.0
2021-12-24,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.18000000000000005,0.0
2021-12-25,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.21999999999999997,0.0
2021-12-26,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.26,0.0
2021-12-27,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.19999999999999996,0.0
2021-12-28,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.18000000000000005,0.0
2021-12-29,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.45999999999999996,0.0
2021-12-30,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.56,0.0
2021-12-31,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.43999999999999995,0.0
2022-01-01,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2022-01-02,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.42000000000000004,0.0
2022-01-03,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.42000000000000004,0.0
2022-01-04,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.54,0.0
2022-01-05,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2022-01-06,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.7,0.0
2022-01-07,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.64,0.0
2022-01-08,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.8,0.0
2022-01-09,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.54,0.0
2022-01-10,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.54,0.0
2022-01-11,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2022-01-12,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.56,0.0
2022-01-13,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2022-01-14,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2022-01-15,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.54,0.0
2022-01-16,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5800000000000001,0.0
2022-01-17,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.56,0.0
2022-01-18,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2022-01-19,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2022-01-20,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2022-01-21,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.62,0.0
2022-01-22,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.74,0.0
2022-01-23,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.78,0.0
2022-01-24,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.74,0.0
2022-01-25,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.76,0.0
2022-01-26,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.54,0.0
2022-01-27,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.6,0.0
2022-01-28,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2022-01-29,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.52,0.0
2022-01-30,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.42000000000000004,0.0
2022-01-31,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.6,0.0
2022-02-01,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.48,0.0
2022-02-02,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.43999999999999995,0.0
2022-02-03,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.6,0.0
2022-02-04,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.6,0.0
2022-02-05,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.33999999999999997,0.0
2022-02-06,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.26,0.0
2022-02-07,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.09999999999999998,0.0
2022-02-08,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.040000000000000036,0.0
2022-02-09,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.08000000000000007,0.0
2022-02-10,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2022-02-11,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2022-02-12,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0
2022-02-13,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0
2022-02-14,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.07999999999999996,0.0
2022-02-15,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.07999999999999996,0.0
2022-02-16,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.020000000000000018,0.0
2022-02-17,ETH-USD,0.0,0,0.0,0,0.0,0.0,0.040000000000000036,0.0
2022-02-18,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.4,0.0
2022-02-19,ETH-USD,0.0,0,0.0,0,0.0,0.0,-0.5,0.0
